Type,Name,Key Provisions,Relevance,Sources
Primary Regulation,Directive 2005/29/EC (Unfair Commercial Practices Directive - UCPD),"Articles 5-9 (general prohibition, misleading actions/omissions, aggressive practices); Annex I (blacklist)",Core instrument prohibiting misleading omissions (Art. 7) - applies when trader omits material information needed for informed transactional decision,"web:26, web:29, web:35, web:38"
Primary Regulation,Directive 93/13/EEC (Unfair Terms in Consumer Contracts Directive - UCTD),"Articles 3-5 (unfairness test, transparency requirement, plain intelligible language); Art. 4(2) (core terms exemption)",Requires contractual terms in plain intelligible language (Art. 5); unfair if contrary to good faith and causes significant imbalance (Art. 3),"web:28, web:31, web:40, web:43"
Primary Regulation,Directive 2011/83/EU (Consumer Rights Directive - CRD),Articles 5-8 (pre-contractual information requirements for on/off-premises and distance contracts),"Mandates specific pre-contractual information disclosure including main characteristics, price, duration of contract for continuous services","web:27, web:30, web:36, web:42"
Primary Regulation,Directive 98/6/EC (Price Indication Directive - PID),"Article 6a (prior price indication for price reductions, as amended by Dir. 2019/2161)","Requires clear, unambiguous price indication; relevant to pricing transparency in service offerings","web:69, web:72, web:75, web:78, web:81"
Primary Regulation,Directive 2019/770/EU (Digital Content Directive - DCD),"Articles 6-10 (conformity requirements - subjective and objective); Article 8 (functionality, interoperability)","Establishes conformity standards for digital services including functionality, quality expectations; trader liability for defects","web:113, web:116, web:119, web:122"
Amendment Directive,Directive 2019/2161/EU (Modernisation/Omnibus Directive),"Amendments to UCPD, UCTD, CRD, PID - enhanced transparency, enforcement, penalties",Modernizes consumer law for digital age; strengthens information duties and enforcement mechanisms,"web:10, web:205, web:208, web:211, web:217"
Secondary Regulation,Regulation 2019/1150/EU (Platform-to-Business Regulation - P2B),Article 3 (T&Cs transparency); Article 5 (ranking transparency); Article 4 (notice of changes),"Platform transparency obligations; while B2B focused, illustrates EU transparency standards for online services","web:179, web:204, web:207, web:210, web:213"
CJEU Judgment,Case C-26/13 Kásler and Káslerné Rábai (2014),Transparency requires contract terms set out mechanism allowing consumer to evaluate economic consequences; foreign currency loan terms must be comprehensible,Establishes that transparency means consumer can assess practical effects; vague mechanisms violate transparency requirement,"web:159, web:162, web:165, web:168, web:171, web:174"
CJEU Judgment,Case C-92/11 RWE Vertrieb (2013),"Unilateral price variation clauses must meet transparency, balance, good faith requirements; consumer must understand reason and mode of change",Directly relevant to vague service terms; right to terminate insufficient if variation terms unclear; must specify reason/method of changes,"web:157, web:160, web:163, web:166, web:172, web:175, web:178"
CJEU Judgment,Case C-191/15 VKI v Amazon (2016),Standard terms choosing supplier's law unfair; applies consumer protection of Member State where consumer resides/is targeted,Establishes principles for online service providers; fairness assessment applies to all standard terms in consumer contracts,"web:142, web:145, web:148, web:151"
CJEU Judgment,"Case C-395/21, C-335/21 (D V transparency) (2022-2023)",Transparency requires information sufficient for consumer to assess economic consequences; non-transparent core terms subject to unfairness review,Recent jurisprudence on transparency of pricing/remuneration terms; vague hourly rate mechanisms violate transparency,"web:46, web:47"
CJEU Judgment,Case C-472/23 Lexitor (2025),"Credit agreements must transparently specify APRC calculation, reason/method of fee variations; consumers must understand if circumstances arose and effects",Most recent ruling emphasizing detailed transparency obligations; listing circumstances insufficient without clear explanation of effects,"web:67, web:73, web:85"
CJEU Judgment,Case C-646/22 Compass Banca (2024),"Average consumer is reasonably well-informed, observant, circumspect; cognitive biases relevant to assessing commercial practice effects",Clarifies 'average consumer' benchmark for assessing whether practice/omission materially distorts transactional decisions,"web:115, web:121, web:127"
CJEU Judgment,Case C-39/24 (Caixabank/BBVA arrangement fees) (2025),Transparency requires consumer assess financial consequences; merely stating fee amount insufficient without specifying services/performance time,Recent consolidation: arrangement fees must specify what services provided in exchange; vague fee descriptions violate transparency,"web:79, web:82"
Commission Guidance,EC Guidance on Consumer Rights Directive (DG Justice),Official guidance on interpretation and application of Directive 2011/83/EU provisions including information requirements,"Authoritative interpretation of pre-contractual information duties for on-premises, distance, off-premises contracts",web:33
Commission Guidance,EC Notice on Price Indication Directive Article 6a (2021),"Commission guidance on interpretation of prior price indication requirements, interaction with UCPD","Clarifies price transparency obligations including scope, misleading price reduction announcements",web:81
Commission Guidance,EC Guidelines on Ranking Transparency (P2B Regulation) (2020),"Guidelines on Article 5 P2B Regulation: main parameters determining ranking, communication to businesses",Illustrates EU approach to algorithmic/operational transparency in online service context,"web:216, web:219"
Academic Study,Wiewiórowska-Domagalska (2024) 'Lost in Information: Transparency Dogma of UCTD' ERPL 32(1),CJEU shifted UCTD from content control to information-based protection; transparency requirement expanded beyond plain language to substantive comprehensibility,Critical analysis of CJEU's transparency jurisprudence; documents evolution toward requiring terms enable consumer to assess practical consequences,"web:68, web:71, web:74"
Academic Study,Junuzović (2018) 'Transparency of Pre-Contractual Information in Consumer Credit' CYELP 14,Lack of consistency between transparency under UCTD (comprehensibility) vs CCD (format/position); enforcement authorities struggle with guidance,Demonstrates problems when transparency standards unclear; national authorities may develop narrow interpretations depriving consumers of protection,web:70
Academic Analysis,"Dark Patterns and EU Consumer Law (BEUC, multiple academic sources)",Article 7 UCPD applies to hiding information/providing in unclear manner; Article 6 covers misleading presentation including vagueness,Application of UCPD to digital practices that obscure material information; vague terms can constitute misleading omissions,"web:8, web:11, web:15, web:126"
Academic Study,Schaub (2017) 'Mandatory Information Requirements in Consumer Law' ERPL,"Article 5 CRD requires trader specify contract duration, termination manner; functionality and interoperability for digital content; transparency requirements accompany information items",Explains CRD information requirements for continuous performance contracts; failure triggers remedies under contract law,web:147
Commission Report,EC Report on Modernisation Directive Implementation (2024),Commission assessment of Directive 2019/2161 transposition; identifies gaps and areas for improvement in digital consumer protection,Official evaluation of enhanced consumer protection measures; signals future policy directions for closing gaps,web:214
Enforcement Regulation,Regulation 2017/2394 (Consumer Protection Cooperation - CPC),Coordinates national authority enforcement of consumer protection laws; enables cross-border coordinated actions,"Procedural mechanism for enforcing substantive consumer protection rules including UCPD, UCTD, CRD across Member States","web:206, web:212"
Charter/Treaty,Charter of Fundamental Rights Article 38,EU policies shall ensure high level of consumer protection,Constitutional foundation for consumer protection; informs interpretation of directives toward effective consumer safeguards,"web:77, web:155"
